iter	Logloss
0	0.6403995806
1	0.6151244494
2	0.590796483
3	0.5705895637
4	0.5449969717
5	0.5283118301
6	0.5085001768
7	0.4937745973
8	0.4811961524
9	0.4675625861
10	0.4467962802
11	0.4364994008
12	0.4278722004
13	0.4126494714
14	0.4062508207
15	0.4001708151
16	0.3945582536
17	0.3885793486
18	0.3826471635
19	0.3751962479
20	0.3710097497
21	0.3637298191
22	0.3581838956
23	0.355667318
24	0.3504502995
25	0.3459513063
26	0.3419441809
27	0.338688933
28	0.337035057
29	0.3344276968
30	0.3324293566
31	0.3300299187
32	0.3281487561
33	0.3270000992
34	0.3256191442
35	0.3244646151
36	0.3232142832
37	0.3222322634
38	0.3210868658
39	0.3200391845
40	0.3192301947
41	0.3188700871
42	0.3182013331
43	0.3174839766
44	0.3168807436
45	0.3163377815
46	0.3159186996
47	0.3154485152
48	0.3150616252
49	0.3146841008
50	0.3144516419
51	0.3140643654
52	0.3137921186
53	0.3135697838
54	0.3133239335
55	0.3131201347
56	0.3129268813
57	0.3127435717
58	0.3125567445
59	0.3123299239
60	0.312181506
61	0.3120452649
62	0.3117237289
63	0.3115885577
64	0.3113057388
65	0.3111551364
66	0.3109947855
67	0.3108505757
68	0.310691651
69	0.3105737396
70	0.3104308503
71	0.3103288589
72	0.3101867504
73	0.3101156388
74	0.3099963556
75	0.3098725386
76	0.3097381546
77	0.309643247
78	0.3095508957
79	0.3093818103
80	0.3092998773
81	0.3088830249
82	0.3087913432
83	0.3086827885
84	0.3085922323
85	0.3084609681
86	0.3084059526
87	0.3083064907
88	0.3081917877
89	0.3081053783
90	0.3080253482
91	0.3079459256
92	0.3078807066
93	0.3077829255
94	0.3076958902
95	0.3076479237
96	0.3075366219
97	0.3074960157
98	0.3074519116
99	0.3071745017
100	0.3070714316
101	0.3070506577
102	0.3069897933
103	0.3069176278
104	0.3068416809
105	0.3068089292
106	0.3067451942
107	0.3066981334
108	0.3066537238
109	0.3066469957
110	0.3065874961
111	0.3065228727
112	0.3064430811
113	0.3063584355
114	0.3062131348
115	0.3060821156
116	0.3060709165
117	0.3059873137
118	0.3059211841
119	0.3058735955
120	0.3058466581
121	0.3058084658
122	0.3057501181
123	0.3056485151
124	0.305604911
125	0.3055429131
126	0.3054547017
127	0.3053567572
128	0.3052845294
129	0.3051449391
130	0.3051035043
131	0.3050522472
132	0.3050380408
133	0.3047859907
134	0.3047341515
135	0.3047030507
136	0.3046508261
137	0.3046151591
138	0.3044788249
139	0.304461241
140	0.3044013281
141	0.3043453104
142	0.3042074718
143	0.3041768818
144	0.3041162814
145	0.3040780667
146	0.3040551698
147	0.303986646
148	0.3039414964
149	0.3038876815
150	0.3038199466
151	0.3037864246
152	0.3037512691
153	0.3037204433
154	0.303678478
155	0.3036405792
156	0.3035757064
157	0.3035315927
158	0.3034771693
159	0.3034530375
160	0.3034288612
161	0.3033831029
162	0.3033679136
163	0.3033213879
164	0.3032863902
165	0.3032667457
166	0.3032270631
167	0.3031870185
168	0.3031249247
169	0.3030424538
170	0.3030387897
171	0.3029823264
172	0.302937288
173	0.302888506
174	0.3027993673
175	0.3027563713
176	0.3026954921
177	0.3026329535
