iter	Passed	Remaining
0	10	10374
1	19	9668
2	27	9156
3	36	9081
4	46	9164
5	54	8969
6	62	8855
7	70	8736
8	79	8795
9	88	8762
10	96	8706
11	105	8670
12	114	8703
13	123	8695
14	131	8647
15	141	8687
16	150	8681
17	158	8625
18	166	8598
19	175	8587
20	183	8552
21	191	8525
22	199	8491
23	208	8473
24	217	8469
25	225	8445
26	233	8417
27	242	8410
28	252	8439
29	260	8425
30	269	8414
31	277	8396
32	287	8437
33	295	8407
34	304	8407
35	313	8395
36	323	8407
37	331	8381
38	339	8374
39	348	8356
40	356	8349
41	365	8327
42	372	8300
43	381	8283
44	390	8297
45	399	8278
46	407	8253
47	414	8230
48	424	8243
49	432	8222
50	440	8201
51	449	8193
52	458	8197
53	467	8187
54	475	8163
55	483	8144
56	492	8146
57	500	8133
58	509	8118
59	517	8107
60	526	8102
61	535	8097
62	543	8080
63	551	8071
64	560	8060
65	569	8053
66	577	8042
67	586	8032
68	594	8022
69	603	8015
70	611	8002
71	620	8002
72	629	7991
73	637	7982
74	646	7968
75	654	7960
76	664	7968
77	673	7964
78	682	7955
79	690	7944
80	700	7942
81	708	7931
82	717	7926
83	725	7912
84	735	7912
85	743	7903
86	752	7895
87	760	7885
88	771	7892
89	778	7874
90	787	7864
91	795	7853
92	804	7846
93	813	7836
94	821	7830
95	830	7820
96	840	7822
97	848	7809
98	857	7799
99	865	7785
100	873	7777
101	881	7763
102	890	7754
103	898	7744
104	907	7733
105	915	7723
106	923	7709
107	932	7704
108	940	7691
109	946	7659
110	955	7655
111	964	7643
112	972	7633
113	981	7628
114	990	7620
115	996	7596
116	1004	7582
117	1012	7570
118	1021	7564
119	1030	7555
120	1039	7548
121	1047	7540
122	1056	7532
123	1064	7522
124	1073	7511
125	1082	7505
126	1090	7496
127	1098	7485
128	1107	7475
129	1116	7473
130	1125	7465
131	1134	7460
132	1142	7450
133	1152	7449
134	1161	7443
135	1170	7436
136	1179	7427
137	1187	7419
138	1195	7405
139	1203	7393
140	1212	7387
141	1221	7380
142	1230	7373
143	1238	7364
144	1248	7361
145	1258	7360
146	1268	7358
147	1276	7346
148	1285	7341
149	1293	7332
150	1301	7319
151	1311	7314
152	1319	7307
153	1328	7297
154	1336	7288
155	1344	7276
156	1353	7268
157	1363	7268
158	1372	7258
159	1380	7245
160	1387	7232
161	1397	7228
162	1406	7219
163	1414	7208
164	1422	7198
165	1431	7193
166	1441	7188
167	1451	7186
168	1460	7179
169	1469	7174
170	1475	7154
171	1483	7142
172	1492	7135
173	1501	7127
174	1509	7117
175	1518	7108
176	1526	7098
177	1535	7091
178	1543	7080
179	1552	7073
180	1560	7061
181	1569	7054
182	1575	7034
183	1584	7027
184	1593	7021
185	1602	7013
186	1611	7007
187	1620	6998
188	1629	6991
189	1637	6980
190	1646	6972
191	1654	6964
192	1664	6960
193	1672	6949
194	1680	6935
195	1688	6926
196	1696	6914
197	1705	6909
198	1714	6899
199	1721	6886
200	1729	6874
201	1737	6863
202	1746	6858
203	1755	6851
204	1764	6843
205	1772	6832
206	1780	6821
207	1788	6808
208	1796	6800
209	1804	6789
210	1812	6778
211	1821	6770
212	1830	6764
213	1837	6748
214	1845	6738
215	1853	6727
216	1861	6717
217	1871	6713
218	1875	6689
219	1884	6682
220	1893	6673
221	1901	6664
222	1912	6663
223	1917	6644
224	1926	6635
225	1934	6626
226	1942	6616
227	1951	6608
228	1959	6597
229	1968	6588
230	1976	6581
231	1985	6572
232	1994	6564
233	2001	6553
234	2010	6545
235	2019	6536
236	2027	6526
237	2036	6519
238	2045	6511
239	2053	6502
240	2061	6492
241	2069	6483
242	2079	6477
243	2086	6465
244	2095	6456
245	2103	6448
246	2113	6442
247	2122	6436
248	2130	6426
249	2139	6418
250	2147	6407
251	2155	6399
252	2164	6389
253	2172	6381
254	2180	6371
255	2189	6363
256	2197	6352
257	2206	6344
258	2214	6336
259	2223	6328
260	2232	6319
261	2237	6302
262	2246	6294
263	2254	6285
264	2261	6271
265	2270	6264
266	2279	6258
267	2289	6252
268	2297	6243
269	2306	6235
270	2314	6225
271	2323	6219
272	2332	6212
273	2341	6205
274	2350	6196
275	2359	6189
276	2368	6182
277	2376	6172
278	2385	6164
279	2393	6155
280	2402	6146
281	2410	6137
282	2419	6130
283	2428	6123
284	2437	6115
285	2445	6105
286	2454	6098
287	2462	6088
288	2468	6073
289	2477	6064
290	2485	6056
291	2494	6049
292	2503	6040
293	2511	6031
294	2520	6022
295	2528	6013
296	2537	6006
297	2545	5996
298	2553	5987
299	2562	5978
300	2571	5972
301	2579	5963
302	2588	5953
303	2596	5945
304	2605	5937
305	2614	5928
306	2618	5911
307	2626	5900
308	2634	5891
309	2644	5885
310	2653	5878
311	2662	5870
312	2670	5860
313	2678	5852
314	2687	5845
315	2696	5836
316	2705	5829
317	2714	5822
318	2723	5813
319	2731	5804
320	2739	5794
321	2748	5786
322	2757	5779
323	2765	5770
324	2774	5762
325	2780	5748
326	2789	5740
327	2797	5732
328	2806	5723
329	2815	5715
330	2823	5707
331	2832	5699
332	2841	5692
333	2850	5683
334	2858	5674
335	2866	5665
336	2875	5657
337	2884	5649
338	2892	5639
339	2899	5627
340	2907	5619
341	2917	5612
342	2926	5605
343	2934	5596
344	2942	5587
345	2952	5580
346	2960	5571
347	2970	5564
348	2977	5554
349	2987	5547
350	2996	5539
351	3004	5531
352	3013	5522
353	3021	5513
354	3029	5504
355	3039	5497
356	3047	5489
357	3056	5481
358	3065	5473
359	3074	5466
360	3083	5457
361	3090	5447
362	3100	5439
363	3109	5432
364	3118	5425
365	3127	5416
366	3136	5410
367	3145	5402
368	3154	5394
369	3163	5386
370	3171	5377
371	3180	5369
372	3189	5361
373	3198	5352
374	3207	5345
375	3215	5336
376	3224	5327
377	3232	5319
378	3241	5311
379	3249	5302
380	3258	5293
381	3266	5284
382	3275	5277
383	3284	5268
384	3293	5261
385	3302	5253
386	3310	5244
387	3320	5237
388	3329	5229
389	3337	5220
390	3346	5212
391	3354	5203
392	3363	5194
393	3371	5184
394	3379	5175
395	3388	5167
396	3396	5159
397	3404	5149
398	3413	5142
399	3422	5133
400	3431	5125
401	3440	5117
402	3448	5109
403	3457	5100
404	3465	5091
405	3476	5086
406	3484	5077
407	3493	5069
408	3501	5059
409	3509	5050
410	3519	5044
411	3528	5035
412	3536	5026
413	3544	5017
414	3553	5009
415	3562	5000
416	3570	4992
417	3579	4983
418	3591	4979
419	3600	4972
420	3610	4966
421	3618	4956
422	3627	4948
423	3636	4940
424	3645	4932
425	3654	4923
426	3662	4914
427	3671	4907
428	3680	4898
429	3688	4889
430	3697	4881
431	3705	4872
432	3714	4864
433	3723	4855
434	3732	4847
435	3740	4838
436	3748	4829
437	3757	4820
438	3765	4812
439	3774	4804
440	3784	4797
441	3793	4788
442	3802	4781
443	3811	4772
444	3819	4763
445	3827	4754
446	3836	4745
447	3844	4737
448	3853	4728
449	3862	4720
450	3869	4710
451	3878	4702
452	3887	4693
453	3895	4685
454	3905	4677
455	3914	4669
456	3923	4661
457	3931	4652
458	3939	4643
459	3948	4635
460	3957	4627
461	3966	4619
462	3975	4610
463	3983	4601
464	3992	4593
465	4001	4585
466	4009	4575
467	4018	4568
468	4027	4559
469	4036	4551
470	4045	4543
471	4053	4534
472	4061	4525
473	4069	4516
474	4078	4507
475	4086	4498
476	4095	4490
477	4104	4481
478	4112	4472
479	4121	4464
480	4129	4456
481	4137	4446
482	4145	4436
483	4153	4427
484	4161	4419
485	4170	4410
486	4179	4402
487	4187	4393
488	4195	4384
489	4204	4375
490	4212	4367
491	4221	4358
492	4230	4350
493	4239	4342
494	4248	4334
495	4256	4324
496	4264	4315
497	4273	4307
498	4282	4299
499	4289	4289
500	4298	4281
501	4306	4272
502	4316	4264
503	4325	4256
504	4332	4247
505	4341	4238
506	4350	4230
507	4358	4221
508	4367	4212
509	4376	4204
510	4383	4194
511	4391	4185
512	4399	4176
513	4407	4167
514	4413	4156
515	4422	4148
516	4430	4139
